"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
"1","No","Lower","male",22,1,0,7.25,"Southampton"
"2","Si","Upper","female",38,1,0,71.2833,"Cherbourg"
"3","Si","Lower","female",26,0,0,7.925,"Southampton"
"4","Si","Upper","female",35,1,0,53.1,"Southampton"
"5","No","Lower","male",35,0,0,8.05,"Southampton"
"6","No","Lower","male",21,0,0,8.4583,"Queenstown"
"7","No","Upper","male",54,0,0,51.8625,"Southampton"
"8","No","Lower","male",2,3,1,21.075,"Southampton"
"9","Si","Lower","female",27,0,2,11.1333,"Southampton"
"10","Si","Middle","female",14,1,0,30.0708,"Cherbourg"
"11","Si","Lower","female",4,1,1,16.7,"Southampton"
"12","Si","Upper","female",58,0,0,26.55,"Southampton"
"13","No","Lower","male",20,0,0,8.05,"Southampton"
"14","No","Lower","male",39,1,5,31.275,"Southampton"
"15","No","Lower","female",14,0,0,7.8542,"Southampton"
"16","Si","Middle","female",55,0,0,16,"Southampton"
"17","No","Lower","male",2,4,1,29.125,"Queenstown"
"18","Si","Middle","male",34,0,0,13,"Southampton"
"19","No","Lower","female",31,1,0,18,"Southampton"
"20","Si","Lower","female",30,0,0,7.225,"Cherbourg"
"21","No","Middle","male",35,0,0,26,"Southampton"
"22","Si","Middle","male",34,0,0,13,"Southampton"
"23","Si","Lower","female",15,0,0,8.0292,"Queenstown"
"24","Si","Upper","male",28,0,0,35.5,"Southampton"
"25","No","Lower","female",8,3,1,21.075,"Southampton"
"26","Si","Lower","female",38,1,5,31.3875,"Southampton"
"27","No","Lower","male",30,0,0,7.225,"Cherbourg"
"28","No","Upper","male",19,3,2,263,"Southampton"
"29","Si","Lower","female",26,0,0,7.8792,"Queenstown"
"30","No","Lower","male",33,0,0,7.8958,"Southampton"
"31","No","Upper","male",40,0,0,27.7208,"Cherbourg"
"32","Si","Upper","female",26,1,0,146.5208,"Cherbourg"
"33","Si","Lower","female",22,0,0,7.75,"Queenstown"
"34","No","Middle","male",66,0,0,10.5,"Southampton"
"35","No","Upper","male",28,1,0,82.1708,"Cherbourg"
"36","No","Upper","male",42,1,0,52,"Southampton"
"37","Si","Lower","male",20,0,0,7.2292,"Cherbourg"
"38","No","Lower","male",21,0,0,8.05,"Southampton"
"39","No","Lower","female",18,2,0,18,"Southampton"
"40","Si","Lower","female",14,1,0,11.2417,"Cherbourg"
"41","No","Lower","female",40,1,0,9.475,"Southampton"
"42","No","Middle","female",27,1,0,21,"Southampton"
"43","No","Lower","male",33,0,0,7.8958,"Cherbourg"
"44","Si","Middle","female",3,1,2,41.5792,"Cherbourg"
"45","Si","Lower","female",19,0,0,7.8792,"Queenstown"
"46","No","Lower","male",24,0,0,8.05,"Southampton"
"47","No","Lower","male",30,1,0,15.5,"Queenstown"
"48","Si","Lower","female",22,0,0,7.75,"Queenstown"
"49","No","Lower","male",21,2,0,21.6792,"Cherbourg"
"50","No","Lower","female",18,1,0,17.8,"Southampton"
"51","No","Lower","male",7,4,1,39.6875,"Southampton"
"52","No","Lower","male",21,0,0,7.8,"Southampton"
"53","Si","Upper","female",49,1,0,76.7292,"Cherbourg"
"54","Si","Middle","female",29,1,0,26,"Southampton"
"55","No","Upper","male",65,0,1,61.9792,"Cherbourg"
"56","Si","Upper","male",36,0,0,35.5,"Southampton"
"57","Si","Middle","female",21,0,0,10.5,"Southampton"
"58","No","Lower","male",28.5,0,0,7.2292,"Cherbourg"
"59","Si","Middle","female",5,1,2,27.75,"Southampton"
"60","No","Lower","male",11,5,2,46.9,"Southampton"
"61","No","Lower","male",22,0,0,7.2292,"Cherbourg"
"62","Si","Upper","female",38,0,0,80,"Southampton"
"63","No","Upper","male",45,1,0,83.475,"Southampton"
"64","No","Lower","male",4,3,2,27.9,"Southampton"
"65","No","Upper","male",40,0,0,27.7208,"Cherbourg"
"66","Si","Lower","male",9,1,1,15.2458,"Cherbourg"
"67","Si","Middle","female",29,0,0,10.5,"Southampton"
"68","No","Lower","male",19,0,0,8.1583,"Southampton"
"69","Si","Lower","female",17,4,2,7.925,"Southampton"
"70","No","Lower","male",26,2,0,8.6625,"Southampton"
"71","No","Middle","male",32,0,0,10.5,"Southampton"
"72","No","Lower","female",16,5,2,46.9,"Southampton"
"73","No","Middle","male",21,0,0,73.5,"Southampton"
